Name,City,Specialization,Hospital,description 
Dr. Amanullah Khan,GUJRANWALA,Gastroenterologist,"Gondal Medical Complex Hospital, Civil Lines, Gujranwala",Gastroenterologist
Dr. Moeed Ahmad Khan,GUJRANWALA,Gastroenterologist,"Fazil Memorial Hospital, Civil Lines, Gujranwala",Gastroenterologist
Dr. Saad Bin Javed,GUJRANWALA,Gastroenterologist,"Hasan Clinic, Civil Lines, Gujranwala",Gastroenterologist
Dr. Atiq Ahmad Bhatti,GUJRANWALA,Gastroenterologist,"Gondal Medical Complex Hospital, Civil Lines, Gujranwala",Gastroenterologist
Dr. Col(r)shaukat Ali,GUJRANWALA,Gastroenterologist,"Medcare International Hospital, Near Sada Bahar burger Point, Gujranwala",Gastroenterologist
Dr. Abdul Moiz Bhatti,GUJRANWALA,Gastroenterologist,"Medcare International Hospital, Near Sada Bahar burger Point, Gujranwala",Gastroenterologist
Dr. Ghais Ul Hassan,GUJRANWALA,Gastroenterologist,"Medcare International Hospital, Near Sada Bahar burger Point, Gujranwala",Gastroenterologist
Assoc. Prof. Dr. Yasin Awan,GUJRANWALA,Orthopedic Surgeon,"Muhammad Hospital, Jinnah Rd, Gujranwala",Orthopedic Surgeon
Asst. Prof. Dr. Fahad Nazir,GUJRANWALA,Orthopedic Surgeon,"Punjab Medical Complex Hospital, People Colony, Gujranwala",Orthopedic Surgeon
Dr. Usman Latif,GUJRANWALA,Orthopedic Surgeon,"Bhatti Hospital, Muneer Chowk, Gujranwala",Orthopedic Surgeon
Dr. Nabeel Yazdani,GUJRANWALA,Orthopedic Surgeon,"Chaudhry Hospital, Main Satellite Town, Gujranwala",Orthopedic Surgeon
Prof. Dr. Syed Asif Ali,GUJRANWALA,Orthopedic Surgeon,No Address Available,Orthopedic Surgeon
Dr. Muhammad Maqsood Ahmad,GUJRANWALA,Orthopedic Surgeon,"Bhatti Hospital, Muneer Chowk, Gujranwala",Orthopedic Surgeon
Dr. Ammar Khalid,GUJRANWALA,Orthopedic Surgeon,"Siddique Sadiq Memorial Trust Hospital, Ittefaq Town, Gujranwala",Orthopedic Surgeon
Dr. Ahmed Sikendar,GUJRANWALA,Orthopedic Surgeon,"Amna Poly Clinic, Civil Lines, Gujranwala",Orthopedic Surgeon
Dr. Mohammad Nauman Shahid,GUJRANWALA,Orthopedic Surgeon,"Rehman Medical Complex, Peoples Colony, Gujranwala",Orthopedic Surgeon
Dr. Usman Ahmed,GUJRANWALA,Orthopedic Surgeon,"Max Health Hospital, Sector G, Islamabad",Orthopedic Surgeon
Prof. Dr. Naeem Mehmood Mughal,GUJRANWALA,Orthopedic Surgeon,"Winner health Care, Wapda town, Gujranwala",Orthopedic Surgeon
Dr. Khurram Bashir,GUJRANWALA,Orthopedic Surgeon,"Rahat Abdul Gufar Medical Complex, Eminabad, Gujranwala",Orthopedic Surgeon
Asst. Prof. Dr. Usman Rafique,GUJRANWALA,Pediatrician,"Rafique Children Complex, Main Model Town Road, Gujranwala",Pediatrician
Dr. Muzammil Ayub Mehar,GUJRANWALA,"General Physician, Pediatrician","Ali Family Clinic, Sialkot Road, Gujranwala","General Physician, Pediatrician"
Dr. Ayesha Maqsood,GUJRANWALA,Pediatrician,No Address Available,Pediatrician
Dr. Afsheen Oneeb,GUJRANWALA,Pediatrician,No Address Available,Pediatrician
Dr. Muhammad Awais,GUJRANWALA,Pediatrician,"BabyCare Clinic, Madrianwala Road, Hafizabad",Pediatrician
Dr. Saboor Latif,GUJRANWALA,Pediatrician,No Address Available,Pediatrician
Dr. Samia Butt,GUJRANWALA,Pediatrician,No Address Available,Pediatrician
Dr. Shoaib Khokhar,GUJRANWALA,Pediatrician,No Address Available,Pediatrician
Dr. Amna Mirza,GUJRANWALA,Pediatrician,No Address Available,Pediatrician
Dr. Aqeela Sami,GUJRANWALA,"Pediatrician, Pediatrician","Healing Hands Healthcare, Gujranwala, Gujranwala","Pediatrician, Pediatrician"
Dr. Aiman Islam,GUJRANWALA,Pediatrician,No Address Available,Pediatrician
Dr. Aqsa Ali,GUJRANWALA,Pediatrician,"Dr. Aqsa Ali - Child Care Clinic, Baghbanpura, Gujranwala",Pediatrician
Dr. Muzammil Ayub Mehar,GUJRANWALA,"General Physician, Pediatrician","Ali Family Clinic, Sialkot Road, Gujranwala","General Physician, Pediatrician"
Dr. Ali Zain,GUJRANWALA,General Physician,"Batool family clinic, 0, Wazirabad",General Physician
Dr. Ansa Sajeela Adil,GUJRANWALA,General Physician,No Address Available,General Physician
Dr. Bisharat Aziz Mughal,GUJRANWALA,General Physician,No Address Available,General Physician
Dr. Salman Iftikhar,GUJRANWALA,General Physician,"Shamshi Poly Clinic, Fareed Town, Gujranwala",General Physician
Dr. Nabila Younas,GUJRANWALA,Eye Specialist,No Address Available,Eye Specialist
Dr. Salman Ahmed,GUJRANWALA,General Physician,No Address Available,General Physician
Dr. Muhammad Easa Khan,GUJRANWALA,General Physician,No Address Available,General Physician
Dr. Sikandar Abbas,GUJRANWALA,General Physician,No Address Available,General Physician
Dr. Nimra Riaz,GUJRANWALA,General Physician,No Address Available,General Physician
Dr. Ali Khurshid Bhalli,GUJRANWALA,General Physician,No Address Available,General Physician
Dr. Ummar Ahmed,GUJRANWALA,General Physician,No Address Available,General Physician
Asst. Prof. Dr. Usman Khalid Cheema,GUJRANWALA,Nephrologist,"Medcare International Hospital, Civil Lines, Gujranwala",Nephrologist
Assoc. Prof. Dr. Fowad Shahzad,GUJRANWALA,"Nephrologist, Nephrologist, Diabetologist","Siddique Family Clinic, Green Town, Lahore","Nephrologist, Nephrologist, Diabetologist"
Asst. Prof. Dr. Nouman Hameed Sheikh,GUJRANWALA,Nephrologist,"Central Hospital, Jinnah Colony, Gujranwala",Nephrologist
Dr. Ahmar Ijaz Mughal,GUJRANWALA,Nephrologist,No Address Available,Nephrologist
Dr. Aqeel Ahmed,GUJRANWALA,Nephrologist,"New Gondal Hospital, Civil Lines, Gujranwala",Nephrologist
Dr. Fawad Shahzad Warrich,GUJRANWALA,Nephrologist,"Siddique Family Hospital, Rahwali Cantt, Gujranwala",Nephrologist
Dr. M.anees,GUJRANWALA,Nephrologist,"Gondal Medical Complex Hospital, Civil Lines, Gujranwala",Nephrologist
Dr. M.masood,GUJRANWALA,Nephrologist,"Fazil Memorial Hospital, Civil Lines, Gujranwala",Nephrologist
Dr. Numan Hameed,GUJRANWALA,Nephrologist,"Chattha Hospital, Civil Lines, Gujranwala",Nephrologist
Asst. Prof. Dr. Asif Malik,GUJRANWALA,"Urologist, Sexologist, Andrologist","Muhammad Ali Family Hospital, Satellite Town, Gujranwala","Urologist, Sexologist, Andrologist"
Dr. Umar Amin,GUJRANWALA,"Andrologist, Sexologist","Fatima Bashir Hospital, Ghakhar, Main GT Road, Ghakhar Mandi","Andrologist, Sexologist"
Dr. Ali Shandar Durrani,GUJRANWALA,"Urologist, Sexologist, Andrologist","Chatha Hospital, , Civil Lines, Gujranwala","Urologist, Sexologist, Andrologist"
Dr. Umair Hafeez,GUJRANWALA,Ent Specialist,"Central Hospital, Jinnah Colony, Gujranwala",Ent Specialist
Dr. Ayesha Hanif,GUJRANWALA,Eye Surgeon,No Address Available,Eye Surgeon
Dr. Ather Adnan,GUJRANWALA,Neuro Surgeon,"Muhammad Ali Family Hospital, Satellite Town, Gujranwala",Neuro Surgeon
Dr. Khawar Anwar,GUJRANWALA,Neuro Surgeon,"Farooq Hospital (DHA), DHA, Lahore",Neuro Surgeon
Dr. Gulzar Aslam Duggal,GUJRANWALA,Neuro Surgeon,"Siddique Family Hospital, Rahwali Cantt, Gujranwala",Neuro Surgeon
Asst. Prof. Dr. M.ashfaq,GUJRANWALA,Neuro Surgeon,"Gondal Medical Complex Hospital, Civil Lines, Gujranwala",Neuro Surgeon
Dr. Altaf Hussain,GUJRANWALA,Neuro Surgeon,"Majeed Medical Complex Hospital, Civil Lines, Gujranwala",Neuro Surgeon
Dr. Fawad Hussain,SARGODHA,Dermatologist,"Chughtai lab, Main Satellite Town, Sargodha",Dermatologist
Dr. Seemal Akram,SARGODHA,Dermatologist,"Rai Medical Complex Hospital, Satellite Town, Sargodha",Dermatologist
Dr. Aneela Gillani,SARGODHA,Dermatologist,"Niazi Medical Complex Hospital, Club Road, Sargodha",Dermatologist
Dr. Umer Khan,SARGODHA,Dermatologist,"Shifa Hospital, Sadiq Colony, Sargodha",Dermatologist
Dr. Asghar Janjjua,SARGODHA,Dermatologist,"Sadiq Hospital, Satellite Town, Sargodha",Dermatologist
Dr. Iqra Anwar Ammar,SARGODHA,Neurologist,No Address Available,Neurologist
Dr. Saima Ali,SARGODHA,Gynecologist,No Address Available,Gynecologist
Dr. Maria Anwar,SARGODHA,Gynecologist,"Maria Khalil Hospital, Main University Road, Sargodha",Gynecologist
Dr. Misbah Ashraf,SARGODHA,Gynecologist,"Khawaja Arshad Hospital, Satellite Town, Sargodha",Gynecologist
Dr. Nuzhat Zahoor,SARGODHA,Gynecologist,"Sadiq Hospital, Satellite Town, Sargodha",Gynecologist
Dr. Zeenish Amin,SARGODHA,Gynecologist,"Central Hospital Sargodha, Stadium Road, Sargodha",Gynecologist
Asst. Prof. Dr. Marriam Pervaiz Lali,SARGODHA,Gynecologist,"Faizi Hospital, Satellite Town, Sargodha",Gynecologist
Dr. Nadia Ahmed,SARGODHA,Gynecologist,"Kings Hospital, Faisalabad Road, Sargodha",Gynecologist
Dr. Humaira Azhar,SARGODHA,Gynecologist,"Khan Medicare Hospital, Iqbal Colony, Sargodha",Gynecologist
Dr. Mahad Khalid,SARGODHA,Gynecologist,"Khalid Hospital, University Road, Sargodha",Gynecologist
Dr. Faiqa Sarwar,SARGODHA,Gynecologist,No Address Available,Gynecologist
Dr. Amina Hafeez,SARGODHA,Gynecologist,No Address Available,Gynecologist
Dr. Durr E Shahwar,SARGODHA,Gynecologist,No Address Available,Gynecologist
Dr. Muhammad Zaheer,SARGODHA,Urologist,"Central Hospital Sargodha, Stadium Road, Sargodha",Urologist
Dr. Shafiq Awan,SARGODHA,Gastroenterologist,"Tayyab Hospital, Satellite Town, Sargodha",Gastroenterologist
Dr. Sheikh Muhammad Mahmood,SARGODHA,Gastroenterologist,"Fatima Hospital, University Road, Sargodha",Gastroenterologist
Dr. Ahsan Hayat,SARGODHA,Gastroenterologist,"Mubarak Medical Complex New Block, Satellite Town, Sargodha",Gastroenterologist
Dr. Muhammad Bilal Awan,SARGODHA,Gastroenterologist,"Bhatti Hospital, Jauharabad, Khushab",Gastroenterologist
Dr. Zia Ur Rehman,SARGODHA,Gastroenterologist,"Fatima Hospital, University Road, Sargodha",Gastroenterologist
Dr. Naeem Abbas Gilani,SARGODHA,Gastroenterologist,"Sadiq Hospital, Satellite Town, Sargodha",Gastroenterologist
Dr. Asad Hayat Chadhar,SARGODHA,Pulmonologist / Lung Specialist,"Sadiq Hospital, Satellite Town, Sargodha",Pulmonologist / Lung Specialist
Dr. Wasim Ahmad,SARGODHA,Pulmonologist / Lung Specialist,"Fatima Hospital, University Road, Sargodha",Pulmonologist / Lung Specialist
Dr. Muhammad Yousaf Khan Sherdil,SARGODHA,Pulmonologist / Lung Specialist,"Sherdil Clinic, Khushab Road, Sargodha",Pulmonologist / Lung Specialist
Asst. Prof. Dr. Aurangzeb Qureshi,SARGODHA,Orthopedic Surgeon,"Niazi Medical Complex Vip Block Hospital, Railway Road, Sargodha",Orthopedic Surgeon
Dr. Rizwan Arshad,SARGODHA,Orthopedic Surgeon,"Niazi Medical Complex Hospital, Club Road, Sargodha",Orthopedic Surgeon
Dr. Hafiz Atif Hayat Malik,SARGODHA,Orthopedic Surgeon,"Al Haram Medical Complex, Satellite Town, Sargodha",Orthopedic Surgeon
Asst. Prof. Dr. Abdul Basit Jamal,SARGODHA,Orthopedic Surgeon,No Address Available,Orthopedic Surgeon
Asst. Prof. Dr. Karam Rasool Basra,SARGODHA,Orthopedic Surgeon,"Mubarak Medical Complex (Jhal Chakian), Main Gujrat Road, Sargodha",Orthopedic Surgeon
Dr. Yasir U Din Hassan,SARGODHA,Orthopedic Surgeon,"Al Ghafoor Hospital, Bhera, Sargodha",Orthopedic Surgeon
Dr. Ali Ullah Ghauri,SARGODHA,Orthopedic Surgeon,"Kings Hospital, Faisalabad Road, Sargodha",Orthopedic Surgeon
Dr. Umar Nazir Minhas,SARGODHA,Orthopedic Surgeon,"Minhas Family Clinic (Dr. Umer Nazir Minhas), Sattelite Town, Sargodha",Orthopedic Surgeon
Dr. Badr-u-zaman Bhatti,SARGODHA,Orthopedic Surgeon,"Bhatti Medical Complex Hospital, Faislabad Rd, Sargodha",Orthopedic Surgeon
Dr. Nadeem Faraz,SARGODHA,Orthopedic Surgeon,"Fatima Nazir Memorial Hospital, University Road, Sargodha",Orthopedic Surgeon
Dr. Zulifqar Ali,SARGODHA,Orthopedic Surgeon,"Sarwar Hospital, Satellite Town, Sargodha",Orthopedic Surgeon
Dr. Sarwar Chaudhary,SARGODHA,Pediatrician,"Sarwar Hospital, Satellite Town, Sargodha",Pediatrician
Asst. Prof. Dr. Khurram Nawaz Warraich,SARGODHA,Pediatrician,"Ashraf Medical Center, Sargodha Road, Sargodha",Pediatrician
Prof. Dr. Muhammad Yaqoob,SARGODHA,Pediatrician,"Rai Medical Complex Hospital, Satellite Town, Sargodha",Pediatrician
Dr. Bilal Ahmed Lali,SARGODHA,Pediatrician,"Bilal Medicare (Dr Zareena Khaliq Hospital), Satellite Town, Sargodha",Pediatrician
Dr. Nadia Bashir,SARGODHA,Pediatrician,No Address Available,Pediatrician
Dr. Muhammad Bilal Sharif,SARGODHA,Pediatrician,"Saleem Hospital, Model Colony, Sargodha",Pediatrician
Dr. Shahid Rana,SARGODHA,Pediatrician,No Address Available,Pediatrician
Dr. Waqas Aslam,SARGODHA,Pediatrician,"Rafiqa Medical Hospital, Muslim Bazar, Sargodha",Pediatrician
Dr. Hafiz Aaqib Mehboob,SARGODHA,Pediatrician,No Address Available,Pediatrician
Dr. Syed Muhammad Danish Aslam,SARGODHA,Pediatrician,"Mubarak Medical Complex Hospital, Satellite Town, Sargodha",Pediatrician
Dr. Sidrah Yasmeen,SARGODHA,Pediatrician,No Address Available,Pediatrician
Dr. Shoaib Kamboh,SARGODHA,Pediatrician,"Dr Shoaib Children Clinic, punjab, Sargodha",Pediatrician
Dr. Zeeshan Ali Awan,SARGODHA,General Physician,"Home Visit (Sargodha Main City) Hospital, Sargodha, Sargodha",General Physician
Dr. Malik Mohsin,SARGODHA,"General Physician, Internal Medicine Specialist","Hayat Clinic, 27 Block, Sargodha","General Physician, Internal Medicine Specialist"
Dr. Muhammad Saeed Raza,SARGODHA,General Physician,No Address Available,General Physician
Dr. Bilal Habib,SARGODHA,General Physician,"Aziz Clinic &amp; Maternity Center, Chandni Chowk, Sargodha",General Physician
Dr. Muhammad Asim Sana,SARGODHA,General Physician,No Address Available,General Physician
Dr. Sami Ullah,SARGODHA,General Practitioner,No Address Available,General Practitioner
Dr. Jahanzeb,SARGODHA,General Physician,"Home Visit (Sargodha Main City) Hospital, Sargodha, Sargodha",General Physician
Dr. Muhammad Furqan Hussain Shah,SARGODHA,General Physician,No Address Available,General Physician
Dr. Hassan Ali Bhatti,SARGODHA,General Physician,"Abdullah Pharmacy Clinic, Lahore Road, Sargodha",General Physician
Dr. Abadullah Sajid Bashir,SARGODHA,General Physician,"Muhammad Medical Complex, Bhagtanwala, Sargodha",General Physician
Dr. Tariq Kamal,SARGODHA,General Physician,No Address Available,General Physician
Dr. Saima Hussain,SARGODHA,General Physician,No Address Available,General Physician
Dr. Muhammad Usman Javaid,SARGODHA,Nephrologist,"Central Hospital Sargodha, Stadium Road, Sargodha",Nephrologist
Dr. Ahsan Tanveer,SARGODHA,Nephrologist,"Niazi Medical Complex Vip Block Hospital, Railway Road, Sargodha",Nephrologist
Dr. Fazal Mehmood,SARGODHA,Eye Surgeon,"Fatima Hospital, University Road, Sargodha",Eye Surgeon
Dr. Bilal Qureshi,SARGODHA,Eye Surgeon,"Zaheer Laser Eye Centre, Satellite Town, Sargodha",Eye Surgeon
Prof. Dr. Bashir Ahmed,SARGODHA,Neuro Surgeon,"Niazi Medical Complex Hospital, Club Road, Sargodha",Neuro Surgeon
Dr. Asif Iqbal Rana,SARGODHA,Neuro Surgeon,"Niazi Medical Complex Hospital, Club Road, Sargodha",Neuro Surgeon
Dr. Sadaf Mushtaq,FAISALABAD,Dermatologist,"Dia Scient medical complex, Gulistan Colony, Faisalabad",Dermatologist
Dr. Aniqa Mahmood,FAISALABAD,Dermatologist,"Chugtai Medical Centre, Satiyana Road, Faisalabad",Dermatologist
Dr. Zunair Munir,FAISALABAD,Dermatologist,"Zunair Munir Hair Transplant and skin Laser, Samnabad, Faisalabad",Dermatologist
Dr. Sania Iram,FAISALABAD,Dermatologist,No Address Available,Dermatologist
Dr. Asma Kanwal,FAISALABAD,Dermatologist,"Rubina Memorial Hospital, Satyana Road, Faisalabad",Dermatologist
Dr. Naveed Akhtar Shaikh,FAISALABAD,"Dermatologist, Cosmetologist, Aesthetic Physician","Derma Care Skin and laser Clinic, Jaranwala Rd, Faisalabad","Dermatologist, Cosmetologist, Aesthetic Physician"
Dr. Eraj Mehreen Khan,FAISALABAD,Dermatologist,"Dermaline skin and laser clinic, People colony No 1, Faisalabad",Dermatologist
Dr. Sabahat Zaman,FAISALABAD,Dermatologist,"Rubina Memorial Hospital, Satyana Road, Faisalabad",Dermatologist
Dr. Filza Khalid,FAISALABAD,Dermatologist,"Skin Aesthetic and Laser Clinic, Peoples Colony No.2, Faisalabad",Dermatologist
Dr. Noreen Malik,FAISALABAD,Dermatologist,"Rathore Hospital, Lasani Town, Faisalabad",Dermatologist
Dr. Muhammad Usman,FAISALABAD,Dermatologist,No Address Available,Dermatologist
Dr. Farah Khurram,FAISALABAD,Dermatologist,"Faisal Hospital, Peoples Colony, Faisalabad",Dermatologist
Dr. Numan Akram,FAISALABAD,Neurologist,"The National Hospital, Gulberg Rd, Mohalla Guru Nanakpura, Gulberg, Faisalabad",Neurologist
Dr. Zaheer Ahmad,FAISALABAD,Neurologist,"Al Noor Hospital, Douglas pura, Faisalabad",Neurologist
Dr. Arslan Hassan Awan,FAISALABAD,Neurologist,"Chugtai medical Centre ., Satiana Road, Faisalabad",Neurologist
Dr. Umair Aziz,FAISALABAD,Neurologist,"Shifa International Hospital, Jaranwala Road, Faisalabad",Neurologist
Prof. Dr. Rahila Farhat Ch,FAISALABAD,Gynecologist,"Aziz Fatima Hospital, Gulistan Colony, Faisalabad",Gynecologist
Dr. Tehseen Yousuf,FAISALABAD,Gynecologist,No Address Available,Gynecologist
Dr. Sobia Shahid,FAISALABAD,Gynecologist,"Rubina Memorial Hospital, Satyana Road, Faisalabad",Gynecologist
Dr. Samina Haq,FAISALABAD,Gynecologist,"Anti age Hospital, Gulberg 2, Lahore",Gynecologist
Dr. Saba Tariq,FAISALABAD,Gynecologist,"Prime Care Hospital, Saeed Colony, Faisalabad",Gynecologist
Dr. Fouzia Saba,FAISALABAD,Gynecologist,"Saad Medical Complex, Peoples Colony, Faisalabad",Gynecologist
Dr. Rizwana Rizvi,FAISALABAD,Gynecologist,"Faisal Hospital, Peoples Colony, Faisalabad",Gynecologist
Dr. Rabia Irfan,FAISALABAD,Gynecologist,"Irfan Medical City, 569/B People’s colony, Faisalabad",Gynecologist
Dr. Sadia Ali,FAISALABAD,Gynecologist,"Saint Raphael Hospital, Sir Syed Town, Faisalabad",Gynecologist
Dr. Shaista Awan,FAISALABAD,Gynecologist,"Saahil Hospital, Sheikhupura Road, Faisalabad",Gynecologist
Dr. Shaista Jabeen,FAISALABAD,Gynecologist,No Address Available,Gynecologist
Dr. Aqsa Altaf,FAISALABAD,Gynecologist,No Address Available,Gynecologist
Dr. Ahkardar,FAISALABAD,"Urologist, Sexologist, Andrologist","Kardar Specialist Hospital, Jaranwala Road, Faisalabad","Urologist, Sexologist, Andrologist"
Asst. Prof. Dr. Imran Qadir,FAISALABAD,"Urologist, Sexologist, Andrologist, Pediatric Urologist","Qadir Medical Complex, people colony no 2, Faisalabad","Urologist, Sexologist, Andrologist, Pediatric Urologist"
Dr. Farhan Jamshed,FAISALABAD,Urologist,"Aziz Fatima Hospital, Gulistan Colony, Faisalabad",Urologist
Dr. Hafiz Saif Ur Rehman,FAISALABAD,"Urologist, Andrologist, Sexologist",No Address Available,"Urologist, Andrologist, Sexologist"
Assoc. Prof. Dr. Irfan Munir,FAISALABAD,"Urologist, Sexologist, Andrologist","Saad Medical Complex, Peoples Colony, Faisalabad","Urologist, Sexologist, Andrologist"
Dr. Hanan Noor,FAISALABAD,"Urologist, Sexologist, Andrologist","Saad Medical Complex, Peoples Colony, Faisalabad","Urologist, Sexologist, Andrologist"
Dr. Muhammad Sheraz Javed,FAISALABAD,"Urologist, Sexologist, Andrologist","Faisal Hospital, Peoples Colony, Faisalabad","Urologist, Sexologist, Andrologist"
Dr. Amir Imtiaz,FAISALABAD,Urologist,"Anwar Nazeer Medicare, Faisalabad, Faisalabad",Urologist
Dr. Mahmood Ul Hassan,FAISALABAD,Urologist,"Professors Hospital, Faislabad Rd, Faisalabad",Urologist
Dr. M.awais Ashraf,FAISALABAD,Urologist,"Shifa International Hospital, Jaranwala Road, Faisalabad",Urologist
Asst. Prof. Dr. Akram Malik,FAISALABAD,"Urologist, Andrologist, Sexologist","Mian Muhammad Trust Hospital, Near General Bus Stand, Faisalabad","Urologist, Andrologist, Sexologist"
Dr. Atiq Ur Rehman,FAISALABAD,Urologist,"Prime Care Hospital, Saeed Colony, Faisalabad",Urologist
Prof. Dr. Hafiz Mughees Ather,FAISALABAD,Gastroenterologist,"Dr Hafiz Mughees Ather Gastro Liver Center, New muslim town no 1, Faisalabad",Gastroenterologist
Dr. Inam Ul Haq,FAISALABAD,Gastroenterologist,"Saad Medical Complex, Peoples Colony, Faisalabad",Gastroenterologist
Prof. Dr. Masood Javed,FAISALABAD,Gastroenterologist,"Saad Medical Complex, Peoples Colony, Faisalabad",Gastroenterologist
Dr. Muhammad Waqas Qadri,FAISALABAD,Gastroenterologist,"Lahore Medical Complex (Jaranwala), Jaranwala, Faisalabad",Gastroenterologist
Dr. Javeria Komal,FAISALABAD,General Physician,"Health360 Hospital, East W Canal Rd, Faisalabad",General Physician
Dr. Muhammad Irfan,FAISALABAD,Gastroenterologist,"Chiniot General Hospital, Canal Block, Shadman Town, Faisalabad",Gastroenterologist
Dr. Abdul Shakoor,FAISALABAD,"Gastroenterologist, Internal Medicine Specialist, Endocrinologist, Diabetologist","Mujahid Hospital, Madina Town, Faisalabad","Gastroenterologist, Internal Medicine Specialist, Endocrinologist, Diabetologist"
Dr. Zaid Gul,FAISALABAD,Gastroenterologist,"Faisal Hospital (Faisalabad ), east canal road, Faisalabad",Gastroenterologist
Asst. Prof. Dr. Ahmad Farooq,FAISALABAD,Gastroenterologist,"Professors Hospital, Faislabad Rd, Faisalabad",Gastroenterologist
Dr. Zeeshan Javed,FAISALABAD,Gastroenterologist,"Chiniot General Hospital Jinnah Colony, Gurunank Pura, Faisalabad",Gastroenterologist
Asst. Prof. Dr. Kashif Nawaz,FAISALABAD,Gastroenterologist,"Aziz Fatima Hospital, Gulistan Colony, Faisalabad",Gastroenterologist
Dr. Umair Waheed Butt,FAISALABAD,Gastroenterologist,"Shafqat Poly Clinic, Millat Chowk, Faisalabad",Gastroenterologist
Dr. Awais Aslam,FAISALABAD,Pulmonologist / Lung Specialist,"Prime Diagnostic Centre, Toba Tek Singh, Faisalabad",Pulmonologist / Lung Specialist
Dr. Saif Ur Rahman,FAISALABAD,Pulmonologist / Lung Specialist,"Islamabad diagnostic centre ., Madina Town, Faisalabad",Pulmonologist / Lung Specialist
Dr. Muhammad Javed,FAISALABAD,Pulmonologist / Lung Specialist,"Mian Muhammad Trust Hospital, Near General Bus Stand, Faisalabad",Pulmonologist / Lung Specialist
Dr. Muhammad Zahid Iqbal,FAISALABAD,Pulmonologist / Lung Specialist,"Sadiq Medical Hospital, Gulistan Colony, Faisalabad",Pulmonologist / Lung Specialist
Dr. Bashir Ahmed,FAISALABAD,Pulmonologist / Lung Specialist,"Faisal Hospital, Peoples Colony, Faisalabad",Pulmonologist / Lung Specialist
Dr. Talat Mahmood Butt,FAISALABAD,Pulmonologist / Lung Specialist,"Faisal Hospital, Peoples Colony, Faisalabad",Pulmonologist / Lung Specialist
Dr. Hafiz Sikandar Hayaat,FAISALABAD,Pulmonologist / Lung Specialist,"Al Noor Hospital, Douglas pura, Faisalabad",Pulmonologist / Lung Specialist
Dr. Usama Bin Saeed,FAISALABAD,Orthopedic Surgeon,"ABWA Executive Clinics, east canal road, Faisalabad",Orthopedic Surgeon
Dr. Muhammad Adeel Javed,FAISALABAD,Orthopedic Surgeon,"Al Noor Hospital, Douglas pura, Faisalabad",Orthopedic Surgeon
Asst. Prof. Dr. Farhan Sarwar,FAISALABAD,Orthopedic Surgeon,"Faisal Hospital, Peoples Colony, Faisalabad",Orthopedic Surgeon
Asst. Prof. Dr. Khurram Habib,FAISALABAD,Orthopedic Surgeon,"Faisal Hospital, Peoples Colony, Faisalabad",Orthopedic Surgeon
Dr. Ar Hassan,FAISALABAD,Orthopedic Surgeon,"Al Barkat Hospital, Jhang Road, Faisalabad",Orthopedic Surgeon
Dr. Farhad Alam,FAISALABAD,Orthopedic Surgeon,"Saad Medical Complex, Peoples Colony, Faisalabad",Orthopedic Surgeon
Asst. Prof. Dr. Imran Nausher,FAISALABAD,Orthopedic Surgeon,"Kkt International Orthopedic Spine Center, Faisalabad, 38000, Faisalabad",Orthopedic Surgeon
Dr. Shahbaz Qayyum,FAISALABAD,Orthopedic Surgeon,"Chugtai Medical Centre, Satiyana Road, Faisalabad",Orthopedic Surgeon
Dr. Muhammad Yousof Iqbal,FAISALABAD,Orthopedic Surgeon,"Begham Iqbal Clinic, Rabbani Colony, Faisalabad",Orthopedic Surgeon
Dr. Fida Hussain Awan,FAISALABAD,Orthopedic Surgeon,"Doctors Medical and Diagnostic Complex, - Sargodha Rd, Faisalabad",Orthopedic Surgeon
Dr. Usman Akmal,FAISALABAD,Orthopedic Surgeon,"Rathore Hospital, Lasani Town, Faisalabad",Orthopedic Surgeon
Dr. Shahid Ayyoub,FAISALABAD,Orthopedic Surgeon,No Address Available,Orthopedic Surgeon
Asst. Prof. Dr. Iram Javed,FAISALABAD,"Pediatric Neuro Physician, Pediatrician","Ibrahim Specialist Clinic, Canal Rd, Faisalabad","Pediatric Neuro Physician, Pediatrician"
Dr. Junaid Ahmed,FAISALABAD,"Pediatric Nephrologist, Pediatrician","Faisal Hospital, Peoples Colony, Faisalabad","Pediatric Nephrologist, Pediatrician"
Asst. Prof. Dr. Jaweria Masood,FAISALABAD,Pediatrician,"Dr. Shahid Ahmed Heera Clinic, Peoples Colony 1, Faisalabad",Pediatrician
Dr. Wasif Iqbal,FAISALABAD,Pediatrician,"Mujahid Hospital, Madina Town, Faisalabad",Pediatrician
Dr. Muhammad Azeem Tahir Azeemi,FAISALABAD,"Family Medicine, Andrologist, Pediatrician","Ahmad Specialist Clinic, partaab nagar, Faisalabad","Family Medicine, Andrologist, Pediatrician"
Dr. Muhammad Irfan,FAISALABAD,Pediatrician,"Ishaque Memorial Children Clinic, Khurrianwala, Faisalabad",Pediatrician
Dr. Muhammad Tufail,FAISALABAD,Pediatrician,"Farooq Medical Complex, punjab, Faisalabad",Pediatrician
Dr. Ayesha Ghaffar,FAISALABAD,Pediatrician,"Sims Polyclinic and Diagnostic Center, Wapda City, Faisalabad",Pediatrician
Dr. Hussnain Ashfaq,FAISALABAD,Pediatrician,"Dr Hussnain Ashfaq (child specialist) Children care clinic, Samnabad, Faisalabad",Pediatrician
