Name,City,Specialization,Hospital,description 
Dr. Hafiz Abdul Momin,LAHORE,"Urologist, Sexologist, Andrologist","Bajwa Hospital &amp; Cardiac Center, Allama Iqbal Town, Lahore","Urologist, Sexologist, Andrologist"
Prof. Dr. Muhammad Irfan Nazir,LAHORE,"Urologist, Sexologist, Andrologist","Doctors Hospital, Johar Town, Lahore","Urologist, Sexologist, Andrologist"
Dr. Shaheen Khan Bahadar Awan,LAHORE,Urologist,"Ahmed Health Care Clinic, Faisal Town, Lahore",Urologist
Dr. Muhammad Saddiq Haris,LAHORE,Urologist,"Doctors Clinic, Mazhar Farid Colony, Sadiqabad",Urologist
Dr. Faisal Ahmed Zaeem,LAHORE,"Endourologist, Urologist","ACE Medical Centre, GT Road, Gujrat","Endourologist, Urologist"
Asst. Prof. Dr. Shahid Qureshi,LAHORE,"Urologist, Sexologist, Andrologist","Integrated Medical Care, DHA phase 5, Lahore","Urologist, Sexologist, Andrologist"
Dr. Muhammad Sohail,LAHORE,"Urologist, Sexologist, Endourologist, Andrologist","Health Bridge Hospital, Cantt, Lahore","Urologist, Sexologist, Endourologist, Andrologist"
Dr. Usman Javaid,LAHORE,"Gastroenterologist, Hepatologist","Anjum Diagnostic Center, Wapda Town Extension, Lahore","Gastroenterologist, Hepatologist"
Asst. Prof. Dr. Salman Javed,LAHORE,Gastroenterologist,"Health Avenue, Garden Town, Lahore",Gastroenterologist
Asst. Prof. Dr. Mujahid Israr,LAHORE,"Gastroenterologist, Liver Specialist, General Physician, Internal Medicine Specialist","Ikram Hospital, Marghzar Colony, Gujrat","Gastroenterologist, Liver Specialist, General Physician, Internal Medicine Specialist"
Asst. Prof. Dr. Fahmina Ashfaq,LAHORE,"Internal Medicine Specialist, General Physician, Gastroenterologist, Diabetologist, Family Medicine","Naseer Hospital, Garden Town, Lahore","Internal Medicine Specialist, General Physician, Gastroenterologist, Diabetologist, Family Medicine"
Prof. Dr. Talat Naheed,LAHORE,"General Physician, Internal Medicine Specialist, Gastroenterologist, Diabetologist","Khan Clinic, Allama Iqbal Town, Lahore","General Physician, Internal Medicine Specialist, Gastroenterologist, Diabetologist"
Assoc. Prof. Dr. Asif Mehmood,LAHORE,Gastroenterologist,No Address Available,Gastroenterologist
Prof. Dr. Fatima Mehboob,LAHORE,"Gastroenterologist, Endocrinologist, Gastroenterologist","Ali labs and Examination Center., Thokar Niaz Baig, Lahore","Gastroenterologist, Endocrinologist, Gastroenterologist"
Asst. Prof. Dr. Muhammad Bilal Nasir,LAHORE,Gastroenterologist,"Integrated Medical Care, DHA phase 5, Lahore",Gastroenterologist
Asst. Prof. Dr. Junaid Mushtaq,LAHORE,Gastroenterologist,"Sharif Medical Complex, Masjidpura, Sialkot",Gastroenterologist
Dr. Asma Arshad Khan,LAHORE,Gastroenterologist,"Omar Hospital &amp; Cardiac Centre, Jail Road, Lahore",Gastroenterologist
Prof. Dr. Muhammad Asif Gul,LAHORE,Gastroenterologist,"Farooq Hospital (DHA), DHA, Lahore",Gastroenterologist
Dr. Raja Ikram Ul Haq,LAHORE,Gastroenterologist,"Liver And Gastro Care Clinic, Shadman 1, Lahore",Gastroenterologist
Prof. Dr. Khawar Abbas,LAHORE,"Pulmonologist / Lung Specialist, Lung Surgeon","Evercare Hospital, Nespak Housing Scheme, Lahore","Pulmonologist / Lung Specialist, Lung Surgeon"
Dr. Muhammad Taimour,LAHORE,"Pulmonologist / Lung Specialist, General Physician, Diabetologist","AMT Medical and Dental Centre, DHA Phase 4, Lahore","Pulmonologist / Lung Specialist, General Physician, Diabetologist"
Dr. Ashraf Jamal,LAHORE,Pulmonologist / Lung Specialist,"Chest care clinic, Lahore, Lahore",Pulmonologist / Lung Specialist
Prof. Dr. Shamshad Rasul Awan,LAHORE,"Pulmonologist / Lung Specialist, Lung Surgeon","Lahore Chest Clinic, Allama Iqbal Town, Lahore","Pulmonologist / Lung Specialist, Lung Surgeon"
Dr. Muhammad Hussain,LAHORE,Pulmonologist / Lung Specialist,"Masood Hospital, Garden Town, Lahore",Pulmonologist / Lung Specialist
Dr. Asif Hanif,LAHORE,Pulmonologist / Lung Specialist,"Omar Hospital &amp; Cardiac Centre, Jail Road, Lahore",Pulmonologist / Lung Specialist
Dr. Zahid Abdul Hamid,LAHORE,Pulmonologist / Lung Specialist,"Saadan Hospital, Johar Town, Lahore",Pulmonologist / Lung Specialist
Dr. Amdad Ali Faruqi,LAHORE,"Pulmonologist / Lung Specialist, Internal Medicine Specialist","Mid City Hospital, Jail Road, Lahore","Pulmonologist / Lung Specialist, Internal Medicine Specialist"
Dr. Affaf Javaid,LAHORE,Pulmonologist / Lung Specialist,"Fatima Memorial Hospital (Fmh), Shadman 1, Lahore",Pulmonologist / Lung Specialist
Dr. Maria Arora,LAHORE,Pulmonologist / Lung Specialist,"Noor Medicare Hospital, Ideal Housing Scheme, Lahore",Pulmonologist / Lung Specialist
Dr. Syed Khurshid Uz Zaman,LAHORE,Pulmonologist / Lung Specialist,"Zaman Chest Clinic, Muslim Town, Lahore",Pulmonologist / Lung Specialist
Dr. Zahra Asif Sukhera,LAHORE,Pulmonologist / Lung Specialist,No Address Available,Pulmonologist / Lung Specialist
Asst. Prof. Dr. Abdul Hannan,LAHORE,Orthopedic Surgeon,"Hassan Orthopedic And Poly Clinic, Sabzazar, Lahore",Orthopedic Surgeon
Prof. Dr. Ibrahim Farooq Pasha,LAHORE,"Spinal Surgeon, Orthopedic Surgeon, Spine Specialist","National Hospital, DHA Defence, Lahore","Spinal Surgeon, Orthopedic Surgeon, Spine Specialist"
Dr. Tariq Sohail,LAHORE,Orthopedic Surgeon,"Doctors Hospital, Johar Town, Lahore",Orthopedic Surgeon
Dr. Iqbal Haider,LAHORE,Orthopedic Surgeon,"Bajwa Hospital &amp; Cardiac Center, Allama Iqbal Town, Lahore",Orthopedic Surgeon
Assoc. Prof. Dr. Mumraiz Naqshband,LAHORE,Orthopedic Surgeon,"Bashir Neurospinal Institute (BNI), Shadman 1, Lahore",Orthopedic Surgeon
Dr. Usman Ahmed,LAHORE,"Orthopedic Surgeon, Pediatric Orthopedic Surgeon","Ihsan Mumtaz Hospital, Johar Town, Lahore","Orthopedic Surgeon, Pediatric Orthopedic Surgeon"
Dr. Muhammad Adeel Javed,LAHORE,Orthopedic Surgeon,"Al Noor Hospital, Douglas pura, Faisalabad",Orthopedic Surgeon
Dr. Muhammad Abdul Basit,LAHORE,Orthopedic Surgeon,No Address Available,Orthopedic Surgeon
Dr. Samiullah Bajwa,LAHORE,Orthopedic Surgeon,"Evercare Hospital, Nespak Housing Scheme, Lahore",Orthopedic Surgeon
Assoc. Prof. Dr. Muhammad Bilal,LAHORE,Orthopedic Surgeon,"Doctors Hospital, Johar Town, Lahore",Orthopedic Surgeon
Asst. Prof. Dr. Fahad Nazir,LAHORE,Orthopedic Surgeon,"Iffat Anwar Medical Complex Hospital, Township, Lahore",Orthopedic Surgeon
Prof. Dr. Ghazanfar Ali Shah,LAHORE,Orthopedic Surgeon,"Doctors Hospital, Johar Town, Lahore",Orthopedic Surgeon
Dr. Nosheen Niazi,LAHORE,Pediatrician,No Address Available,Pediatrician
Assoc. Prof. Dr. Hassan Suleman Malik,LAHORE,"Pediatric Gastroenterologist, Pediatrician","Childrens Clinic 1, Garden Town, Lahore","Pediatric Gastroenterologist, Pediatrician"
Asst. Prof. Dr. Binish Ali,LAHORE,Pediatrician,"Iqra Medical Complex Hospital, Johar Town, Lahore",Pediatrician
Asst. Prof. Dr. Hammad Arif,LAHORE,Pediatrician,"Lahore Care Hospital, Ferozepur Road, Lahore",Pediatrician
Dr. Mazhar Abbas Butt,LAHORE,Pediatrician,"Dha Medical Centre, DHA Defence, Lahore",Pediatrician
